,artist,search_result,page_url,concert_count,l_score,rank
0,Paul Oakenfold,Paul Oakenfold,bands/paul-oakenfold,569,0,1.0
3,Steely Dan,Steely Dan,bands/steely-dan,1021,0,1.0
28,Kenny Loggins,Kenny Loggins,bands/kenny-loggins,851,0,1.0
30,Daughter,Daughter,bands/daughter,413,0,1.0
56,Andy Williams,andy williams,bands/andy-williams,80,2,1.0
61,Sick Puppies,Sick Puppies,bands/sick-puppies,912,0,1.0
63,Ja Rule,Ja Rule,bands/ja-rule,402,0,1.0
66,Skid Row,Skid Row,bands/skid-row,1240,0,1.0
110,The B‐52s,"""The B-52s""",bands/the-b-52-s,981,3,1.0
114,Plies,Plies,bands/plies,81,0,1.0
137,Feeder,Feeder,bands/feeder,545,0,1.0
187,Orchestral Manoeuvres in the Dark,Orchestral Manoeuvres in the Dark,bands/orchestral-manoeuvres-in-the-dark--4,276,0,1.0
192,Neon Trees,Neon Trees,bands/neon-trees,615,0,1.0
194,Aimee Mann,Aimee Mann,bands/aimee-mann,675,0,1.0
204,Tim McGraw,Tim McGraw,bands/tim-mcgraw,1328,0,1.0
231,Rogue Wave,Rogue Wave,bands/rogue-wave,461,0,1.0
247,Five for Fighting,Five For Fighting,bands/five-for-fighting,309,1,1.0
248,Walk the Moon,Walk the Moon,bands/walk-the-moon--4,908,0,1.0
252,Sarah Vaughan,Sarah Vaughan,bands/sarah-vaughan,7,0,1.0
254,LL Cool J,LL Cool J,bands/ll-cool-j,230,0,1.0
284,Scooter,Scooter,bands/scooter,149,0,1.0
309,Ben Folds Five,Ben Folds Five,bands/ben-folds-five,264,0,1.0
314,CHVRCHΞS,CHVRCHES,bands/chvrches,715,1,1.0
317,Mr. Scruff,Mr. Scruff,bands/mr-scruff,151,0,1.0
320,The Pretty Reckless,The Pretty Reckless,bands/the-pretty-reckless,666,0,1.0
322,The Wanted,The Wanted,bands/the-wanted,350,0,1.0
342,Thelonious Monk,Thelonius Monk,bands/thelonius-monk,2,1,1.0
344,REO Speedwagon,REO Speedwagon,bands/reo-speedwagon,2155,0,1.0
346,Reel Big Fish,Reel Big Fish,bands/reel-big-fish,2139,0,1.0
348,Jurassic 5,Jurassic 5,bands/jurassic-5,449,0,1.0
352,The Magnetic Fields,The Magnetic Fields,bands/the-magnetic-fields,246,0,1.0
359,The Cribs,The Cribs,bands/the-cribs,677,0,1.0
392,Don McLean,Don McLean,bands/don-mclean,698,0,1.0
393,Blake Shelton,Blake Shelton,bands/blake-shelton,1238,0,1.0
398,Róisín Murphy,Róisín Murphy,bands/roisin-murphy,207,0,1.0
400,Underoath,Underoath,bands/underoath,1310,0,1.0
406,The New Pornographers,The New Pornographers,bands/the-new-pornographers,614,0,1.0
432,Don Henley,Don Henley,bands/don-henley,290,0,1.0
435,Ricky Martin,Ricky Martin,bands/ricky-martin,751,0,1.0
438,Fat Joe,Fat Joe,bands/fat-joe,180,0,1.0
448,Daddy Yankee,Daddy Yankee,bands/daddy-yankee,405,0,1.0
452,Peaches,Peaches,bands/peaches,517,0,1.0
477,A Fine Frenzy,A Fine Frenzy,bands/a-fine-frenzy,169,0,1.0
478,John Mellencamp,John Mellencamp,bands/john-mellencamp,912,0,1.0
484,Kaskade,Kaskade,bands/kaskade,1236,0,1.0
491,House of Pain,House of Pain,bands/house-of-pain,192,0,1.0
519,Atmosphere,Atmosphere,bands/atmosphere,1247,0,1.0
544,Mayday Parade,Mayday Parade,bands/mayday-parade--5,1716,0,1.0
545,Ben E. King,Ben E. King,bands/ben-e-king,27,0,1.0
549,Three 6 Mafia,Three 6 Mafia,bands/three-6-mafia,157,0,1.0
561,Kid Rock,Kid Rock,bands/kid-rock,1199,0,1.0
586,Martin Garrix,Martin Garrix,bands/martin-garrix,564,0,1.0
587,Jackson Browne,Jackson Browne,bands/jackson-browne,1858,0,1.0
607,Haddaway,Haddaway,bands/haddaway,23,0,1.0
614,Dirty Pretty Things,Dirty Pretty Things,bands/dirty-pretty-things,141,0,1.0
615,MSTRKRFT,MSTRKRFT,bands/mstrkrft,372,0,1.0
618,The Whitest Boy Alive,The Whitest Boy Alive,bands/the-whitest-boy-alive,88,0,1.0
619,Buzzcocks,Buzzcocks,bands/buzzcocks,555,0,1.0
624,Iggy Azalea,Iggy Azalea,bands/iggy-azalea,356,0,1.0
630,Girls Aloud,Girls Aloud,bands/girls-aloud,143,0,1.0
634,Paul van Dyk,Paul van Dyk,bands/paul-van-dyk,468,0,1.0
637,Culture Club,Culture Club,bands/culture-club,305,0,1.0
642,Thousand Foot Krutch,Thousand Foot Krutch,bands/thousand-foot-krutch,744,0,1.0
648,Relient K,Relient K,bands/relient-k,913,0,1.0
650,The Dead Weather,The Dead Weather,bands/the-dead-weather,101,0,1.0
676,12 Stones,12 Stones,bands/12-stones,433,0,1.0
677,Capital Cities,Capital Cities,bands/capital-cities,409,0,1.0
678,Hurts,Hurts,bands/hurts,282,0,1.0
703,Toby Keith,Toby Keith,bands/toby-keith,1291,0,1.0
729,William Fitzsimmons,William Fitzsimmons,bands/william-fitzsimmons,582,0,1.0
730,Mat Kearney,Mat Kearney,bands/mat-kearney,896,0,1.0
732,Silverstein,Silverstein,bands/silverstein,2101,0,1.0
737,Crazy Town,Crazy Town,bands/crazy-town,168,0,1.0
738,Leftfield,Leftfield,bands/leftfield,121,0,1.0
743,Sophie Ellis‐Bextor,Sophie Ellis-Bextor,bands/sophie-ellis-bextor,233,1,1.0
746,Badly Drawn Boy,Badly Drawn Boy,bands/badly-drawn-boy,299,0,1.0
747,Ladyhawke,Ladyhawke,bands/ladyhawke,212,0,1.0
776,Bad Company,Bad Company,bands/bad-company,673,0,1.0
806,Jason Aldean,Jason Aldean,bands/jason-aldean,1487,0,1.0
810,Ace Hood,Ace Hood,bands/ace-hood,109,0,1.0
812,Brett Dennen,Brett Dennen,bands/brett-dennen,936,0,1.0
813,Kygo,Kygo,bands/kygo,388,0,1.0
858,The Ataris,The Ataris,bands/the-ataris,954,0,1.0
882,Asher Roth,Asher Roth,bands/asher-roth,186,0,1.0
883,Rudimental,Rudimental,bands/rudimental,577,0,1.0
888,The Horrors,The Horrors,bands/the-horrors,617,0,1.0
900,Metro Station,Metro Station,bands/metro-station,664,0,1.0
902,Iyaz,Iyaz,bands/iyaz,67,0,1.0
918,James Vincent McMorrow,James Vincent McMorrow,bands/james-vincent-mcmorrow,372,0,1.0
938,Zebrahead,Zebrahead,bands/zebrahead,853,0,1.0
966,Anastacia,Anastacia,bands/anastacia,349,0,1.0
988,Tech N9ne,Tech N9ne,bands/tech-n9ne,1920,0,1.0
1024,Antonín Dvořák,Antonin Dvorak,bands/antonin-dvorak,2,3,1.0
1025,Édith Piaf,Édith Piaf,bands/edith-piaf,4,0,1.0
1027,The Specials,The Specials,bands/the-specials,514,0,1.0
1043,Basshunter,Basshunter,bands/basshunter,57,0,1.0
1069,The Antlers,The Antlers,bands/the-antlers,427,0,1.0
1072,John Frusciante,John Frusciante,bands/john-frusciante,7,0,1.0
1074,DragonForce,Dragonforce,bands/dragonforce,773,1,1.0
1082,Phantogram,Phantogram,bands/phantogram,744,0,1.0
1087,Charles Mingus,Charles Mingus,bands/charles-mingus,9,0,1.0
1090,Dexys Midnight Runners,Dexys Midnight Runners,bands/dexys-midnight-runners,25,0,1.0
1119,Little Boots,Little Boots,bands/little-boots,201,0,1.0
1123,Primus,Primus,bands/primus,1282,0,1.0
1141,Senses Fail,Senses Fail,bands/senses-fail,1461,0,1.0
1142,Carla Bruni,Carla Bruni,bands/carla-bruni,17,0,1.0
1145,Black Kids,Black Kids,bands/black-kids,220,0,1.0
1177,Gotan Project,Gotan Project,bands/gotan-project,94,0,1.0
1179,First Aid Kit,First Aid Kit,bands/first-aid-kit,747,0,1.0
1180,Dixie Chicks,Dixie Chicks,bands/dixie-chicks,170,0,1.0
1182,Stan Getz,Stan Getz,bands/stan-getz,5,0,1.0
1185,At the Drive‐In,At the Drive-In,bands/at-the-drive-in--2,271,1,1.0
1188,Keyshia Cole,Keyshia Cole,bands/keyshia-cole,334,0,1.0
1195,Frankie Goes to Hollywood,Frankie Goes To Hollywood,bands/frankie-goes-to-hollywood,41,1,1.0
1222,Ashley Tisdale,Ashley Tisdale,bands/ashley-tisdale,19,0,1.0
1223,Sleigh Bells,Sleigh Bells,bands/sleigh-bells,486,0,1.0
1224,The Mountain Goats,The Mountain Goats,bands/the-mountain-goats,1192,0,1.0
1226,Le Tigre,Le Tigre,bands/le-tigre,144,0,1.0
1230,“Weird Al” Yankovic,"""Weird Al"" Yankovic",bands/weird-al-yankovic,1115,2,1.0
1231,God Is an Astronaut,God Is An Astronaut,bands/god-is-an-astronaut,172,1,1.0
1232,Madvillain,Madvillain,bands/madvillain,2,0,1.0
1233,Isaac Hayes,isaac hayes,bands/isaac-hayes,46,2,1.0
1241,They Might Be Giants,They Might Be Giants,bands/they-might-be-giants--2,2186,0,1.0
1243,Rita Ora,Rita Ora,bands/rita-ora,276,0,1.0
1245,Eve 6,Eve 6,bands/eve-6,618,0,1.0
1255,Bobby Darin,bobby darin,bands/bobby-darin,1,2,1.0
1257,Stromae,Stromae,bands/stromae,220,0,1.0
1264,Something Corporate,Something Corporate,bands/something-corporate,328,0,1.0
1265,The Go! Team,The Go! Team,bands/the-go-team,371,0,1.0
1267,Say Anything,Say Anything,bands/say-anything,860,0,1.0
1273,Minus the Bear,Minus the Bear,bands/minus-the-bear--2,981,0,1.0
1274,Perry Como,Perry Como,bands/perry-como,1,0,1.0
1275,Brenda Lee,brenda lee,bands/brenda-lee,69,2,1.0
1277,HAIM,HAIM,bands/haim--2,549,0,1.0
1301,Flux Pavilion,Flux Pavilion,bands/flux-pavilion,435,0,1.0
1306,Solange,Solange,bands/solange,294,0,1.0
1317,Jonas Brothers,Jonas Brothers,bands/jonas-brothers,834,0,1.0
1325,The Head and the Heart,The Head and the Heart,bands/the-head-and-the-heart--2,919,0,1.0
1329,Gary Moore,Gary Moore,bands/gary-moore,239,0,1.0
1350,Funeral for a Friend,Funeral for a Friend,bands/funeral-for-a-friend--3,736,0,1.0
1351,The Weepies,The Weepies,bands/the-weepies,235,0,1.0
1352,The Rakes,The Rakes,bands/the-rakes,215,0,1.0
1365,Donavon Frankenreiter,Donavon Frankenreiter,bands/donavon-frankenreiter,1339,0,1.0
1368,Pennywise,Pennywise,bands/pennywise,1172,0,1.0
1376,Mystery Jets,Mystery Jets,bands/mystery-jets,404,0,1.0
1381,Neon Indian,Neon Indian,bands/neon-indian,427,0,1.0
1383,The Alan Parsons Project,The Alan Parsons Project,bands/the-alan-parsons-project,14,0,1.0
1385,Spandau Ballet,Spandau Ballet,bands/spandau-ballet,139,0,1.0
1388,Yo Gotti,Yo Gotti,bands/yo-gotti,393,0,1.0
1390,MC Hammer,MC Hammer,bands/mc-hammer,168,0,1.0
1391,Okkervil River,Okkervil River,bands/okkervil-river,665,0,1.0
1409,Jimmy Cliff,Jimmy Cliff,bands/jimmy-cliff,365,0,1.0
1440,Juelz Santana,Juelz Santana,bands/juelz-santana,69,0,1.0
1441,Sugar Ray,Sugar Ray,bands/sugar-ray,625,0,1.0
1454,Buena Vista Social Club,Buena Vista Social Club,bands/buena-vista-social-club,95,0,1.0
1459,4 Non Blondes,4 Non Blondes,bands/4-non-blondes--2,27,0,1.0
1460,Dierks Bentley,Dierks Bentley,bands/dierks-bentley,1778,0,1.0
1463,Sevendust,Sevendust,bands/sevendust,1855,0,1.0
1469,Panda Bear,Panda Bear,bands/panda-bear,194,0,1.0
1473,Cocteau Twins,Cocteau Twins,bands/cocteau-twins--2,61,0,1.0
1474,Them Crooked Vultures,Them Crooked Vultures,bands/them-crooked-vultures,78,0,1.0
1500,Toro y Moi,Toro Y Moi,bands/toro-y-moi,605,1,1.0
1503,Diplo,Diplo,bands/diplo,1314,0,1.0
1528,Rachael Yamagata,Rachael Yamagata,bands/rachael-yamagata,571,0,1.0
1530,The Raveonettes,The Raveonettes,bands/the-raveonettes,515,0,1.0
1531,Best Coast,Best Coast,bands/best-coast,593,0,1.0
1534,The Avett Brothers,The Avett Brothers,bands/the-avett-brothers,1573,0,1.0
1556,Boys Noize,Boys Noize,bands/boys-noize,595,0,1.0
1561,Godspeed You! Black Emperor,Godspeed You! Black Emperor,bands/godspeed-you-black-emperor,764,0,1.0
1563,Death in Vegas,Death In Vegas,bands/death-in-vegas,91,1,1.0
1564,Blue Foundation,Blue Foundation,bands/blue-foundation,11,0,1.0
1570,Less Than Jake,Less Than Jake,bands/less-than-jake--3,2028,0,1.0
1578,Manchester Orchestra,Manchester Orchestra,bands/manchester-orchestra,974,0,1.0
1581,Janelle Monáe,Janelle Monáe,bands/janelle-monae--2,464,0,1.0
1585,Helloween,Helloween,bands/helloween,470,0,1.0
1610,We the Kings,We The Kings,bands/we-the-kings--6,1213,1,1.0
1627,The Zutons,The Zutons,bands/the-zutons,247,0,1.0
1628,Fear Factory,Fear Factory,bands/fear-factory,1081,0,1.0
1632,Arch Enemy,Arch Enemy,bands/arch-enemy,939,0,1.0
1689,Matt Costa,Matt Costa,bands/matt-costa,549,0,1.0
1692,Nazareth,Nazareth,bands/nazareth,649,0,1.0
1714,Felix Mendelssohn,Felix Mendelssohn,bands/felix-mendelssohn,4,0,1.0
1715,The Civil Wars,The Civil Wars,bands/the-civil-wars,260,0,1.0
1718,Young Buck,Young Buck,bands/young-buck,36,0,1.0
1721,Gogol Bordello,Gogol Bordello,bands/gogol-bordello,1363,0,1.0
1725,Jessica Simpson,Jessica Simpson,bands/jessica-simpson,171,0,1.0
1728,Luke Bryan,Luke Bryan,bands/luke-bryan,1426,0,1.0
1729,Alan Jackson,Alan Jackson,bands/alan-jackson,1057,0,1.0
1730,You Me at Six,You Me At Six,bands/you-me-at-six,983,1,1.0
1734,Crystal Fighters,Crystal Fighters,bands/crystal-fighters,350,0,1.0
1736,Faith Hill,Faith Hill,bands/faith-hill,443,0,1.0
1739,Rob Thomas,Rob Thomas,bands/rob-thomas,542,0,1.0
1750,Warpaint,Warpaint,bands/warpaint,648,0,1.0
1753,Danzig,Danzig,bands/danzig,634,0,1.0
1821,Rick Astley,Rick Astley,bands/rick-astley,377,0,1.0
1841,2 Chainz,2 Chainz,bands/2-chainz,613,0,1.0
1846,Augustana,Augustana,bands/augustana,709,0,1.0
1852,Black Label Society,Black Label Society,bands/black-label-society,1237,0,1.0
1859,The Pharcyde,The Pharcyde,bands/the-pharcyde,310,0,1.0
1863,Meek Mill,Meek Mill,bands/meek-mill,360,0,1.0
1869,Little Richard,Little Richard,bands/little-richard,173,0,1.0
1872,Canned Heat,Canned Heat,bands/canned-heat--2,533,0,1.0
1901,Patrick Wolf,Patrick Wolf,bands/patrick-wolf,343,0,1.0
1905,Blind Guardian,Blind Guardian,bands/blind-guardian,367,0,1.0
1906,Marcy Playground,Marcy Playground,bands/marcy-playground,370,0,1.0
1909,Vertical Horizon,Vertical Horizon,bands/vertical-horizon,458,0,1.0
1910,Skunk Anansie,Skunk Anansie,bands/skunk-anansie,438,0,1.0
1911,Joanna Newsom,Joanna Newsom,bands/joanna-newsom,241,0,1.0
1921,Band of Skulls,Band of Skulls,bands/band-of-skulls,538,0,1.0
1922,Alexisonfire,Alexisonfire,bands/alexisonfire,819,0,1.0
1924,Saosin,Saosin,bands/saosin,841,0,1.0
1951,Andrea Bocelli,Andrea Bocelli,bands/andrea-bocelli,567,0,1.0
1954,Fischerspooner,Fischerspooner,bands/fischerspooner,153,0,1.0
1957,Trentemøller,Trentemøller,bands/trentemoller--2,256,0,1.0
